fecha,isla,turistas
2010-12-01,La Palma,13623.0
2011-01-01,La Palma,14950.0
2011-02-01,La Palma,13404.0
2011-03-01,La Palma,16359.0
2011-04-01,La Palma,13535.0
2011-05-01,La Palma,9784.0
2011-06-01,La Palma,9811.0
2011-07-01,La Palma,15302.0
2011-08-01,La Palma,16336.0
2011-09-01,La Palma,14293.0
2011-10-01,La Palma,13523.0
2011-11-01,La Palma,16283.0
2011-12-01,La Palma,13698.0
2012-01-01,La Palma,14967.0
2012-02-01,La Palma,16292.0
2012-03-01,La Palma,14404.0
2012-04-01,La Palma,12040.0
2012-05-01,La Palma,9671.0
2012-06-01,La Palma,10319.0
2012-07-01,La Palma,17465.0
2012-08-01,La Palma,17739.0
2012-09-01,La Palma,12684.0
2012-10-01,La Palma,15230.0
2012-11-01,La Palma,14530.0
2012-12-01,La Palma,12366.0
2013-01-01,La Palma,12405.0
2013-02-01,La Palma,14999.0
2013-03-01,La Palma,15174.0
2013-04-01,La Palma,11729.0
2013-05-01,La Palma,9840.0
2013-06-01,La Palma,7609.0
2013-07-01,La Palma,12346.0
2013-08-01,La Palma,15955.0
2013-09-01,La Palma,11571.0
2013-10-01,La Palma,12259.0
2013-11-01,La Palma,14070.0
2013-12-01,La Palma,12529.0
2014-01-01,La Palma,12774.0
2014-02-01,La Palma,13211.0
2014-03-01,La Palma,14935.0
2014-04-01,La Palma,15012.0
2014-05-01,La Palma,10819.0
2014-06-01,La Palma,9154.0
2014-07-01,La Palma,13344.0
2014-08-01,La Palma,18130.0
2014-09-01,La Palma,11546.0
2014-10-01,La Palma,13739.0
2014-11-01,La Palma,15191.0
2014-12-01,La Palma,14137.0
2015-01-01,La Palma,15318.0
2015-02-01,La Palma,14047.0
2015-03-01,La Palma,17383.0
2015-04-01,La Palma,19326.0
2015-05-01,La Palma,12632.0
2015-06-01,La Palma,10978.0
2015-07-01,La Palma,16316.0
2015-08-01,La Palma,17295.0
2015-09-01,La Palma,13435.0
2015-10-01,La Palma,18494.0
2015-11-01,La Palma,15937.0
2015-12-01,La Palma,17171.0
2016-01-01,La Palma,20728.0
2016-02-01,La Palma,21698.0
2016-03-01,La Palma,22006.0
2016-04-01,La Palma,16123.0
2016-05-01,La Palma,17621.0
2016-06-01,La Palma,15564.0
2016-07-01,La Palma,16879.0
2016-08-01,La Palma,22221.0
2016-09-01,La Palma,16125.0
2016-10-01,La Palma,20441.0
2016-11-01,La Palma,25919.0
2016-12-01,La Palma,22996.0
2017-01-01,La Palma,27729.0
2017-02-01,La Palma,26017.0
2017-03-01,La Palma,29838.0
2017-04-01,La Palma,25758.0
2017-05-01,La Palma,19055.0
2017-06-01,La Palma,15674.0
2017-07-01,La Palma,21373.0
2017-08-01,La Palma,25653.0
2017-09-01,La Palma,20267.0
2017-10-01,La Palma,21440.0
2017-11-01,La Palma,32413.0
2017-12-01,La Palma,28683.0
2018-01-01,La Palma,31813.0
2018-02-01,La Palma,26173.0
2018-03-01,La Palma,28998.0
2018-04-01,La Palma,21752.0
2018-05-01,La Palma,20291.0
2018-06-01,La Palma,17081.0
2018-07-01,La Palma,20582.0
2018-08-01,La Palma,22617.0
2018-09-01,La Palma,19586.0
2018-10-01,La Palma,19399.0
2018-11-01,La Palma,23009.0
2018-12-01,La Palma,23267.0
2019-01-01,La Palma,23278.0
2019-02-01,La Palma,21896.0
2019-03-01,La Palma,26833.0
2019-04-01,La Palma,22089.0
2019-05-01,La Palma,17477.0
2019-06-01,La Palma,16407.0
2019-07-01,La Palma,20435.0
2019-08-01,La Palma,22599.0
2019-09-01,La Palma,19562.0
2019-10-01,La Palma,22582.0
2019-11-01,La Palma,24101.0
2019-12-01,La Palma,20593.0
2020-01-01,La Palma,21049.0
2020-02-01,La Palma,21044.0
2020-03-01,La Palma,9664.0
2020-06-01,La Palma,5.0
2020-07-01,La Palma,3875.0
2020-08-01,La Palma,8830.0
2020-09-01,La Palma,5853.0
2020-10-01,La Palma,3766.0
2020-11-01,La Palma,3794.0
2020-12-01,La Palma,3956.0
2021-01-01,La Palma,3211.0
2021-02-01,La Palma,3065.0
2021-03-01,La Palma,3847.0
2021-04-01,La Palma,2680.0
2021-05-01,La Palma,4664.0
2021-06-01,La Palma,8847.0
2021-07-01,La Palma,14323.0
2021-08-01,La Palma,19080.0
2021-09-01,La Palma,15782.0
2021-10-01,La Palma,10901.0
2021-11-01,La Palma,13165.0
2021-12-01,La Palma,11150.0
2022-01-01,La Palma,5801.0
2022-02-01,La Palma,6036.0
2022-03-01,La Palma,10581.0
2022-04-01,La Palma,14622.0
