fecha,isla,adr_eur,revpar_eur,grado_ocupacion,month,quarter,is_high_season,revpar_eur_lag_1,revpar_eur_lag_3,revpar_eur_lag_12,revpar_eur_rolling_mean_3,revpar_eur_rolling_mean_12,revpar_eur_yoy_growth
2015-07-01,El Hierro,58.24,17.04,0.2925824175824175,7,3,0,10.32,16.05,25.06,13.419999999999996,20.2375,-0.3200319233838787
2015-08-01,El Hierro,66.74,36.47,0.5464489062031765,8,3,1,17.04,13.89,35.6,13.749999999999998,19.569166666666664,0.024438202247190937
2015-09-01,El Hierro,62.15,22.06,0.3549477071600965,9,3,1,36.47,10.32,22.26,21.276666666666664,19.641666666666666,-0.008984725965858168
2015-10-01,El Hierro,60.92,20.25,0.332403151674327,10,4,0,22.06,17.04,20.04,25.189999999999998,19.625,0.010479041916167707
2015-11-01,El Hierro,58.08,21.35,0.3675964187327824,11,4,1,20.25,36.47,26.66,26.259999999999994,19.6425,-0.19917479369842456
2015-12-01,El Hierro,65.19,23.72,0.3638594876514803,12,4,0,21.35,22.06,17.33,21.22,19.2,0.36872475476053096
2016-01-01,El Hierro,58.93,24.73,0.4196504327167826,1,1,1,23.72,20.25,18.41,21.77333333333333,19.7325,0.3432916892992939
2016-02-01,El Hierro,55.76,22.16,0.3974175035868006,2,1,1,24.73,21.35,17.66,23.266666666666662,20.25916666666667,0.2548131370328426
2016-03-01,El Hierro,62.34,28.55,0.457972409367982,3,1,1,22.16,23.72,19.57,23.536666666666665,20.634166666666665,0.45886561062851305
2016-04-01,El Hierro,56.86,15.44,0.2715441435103763,4,2,0,28.55,24.73,16.05,25.146666666666665,21.382499999999997,-0.03800623052959509
2016-05-01,El Hierro,56.98,19.42,0.3408213408213408,5,2,0,15.44,22.16,13.89,22.049999999999997,21.331666666666667,0.39812814974802024
2016-06-01,El Hierro,58.4,17.93,0.3070205479452055,6,2,0,19.42,28.55,10.32,21.136666666666667,21.7925,0.7374031007751938
2016-07-01,El Hierro,60.34,25.05,0.4151474975140868,7,3,0,17.93,15.44,17.04,17.596666666666664,22.426666666666666,0.47007042253521136
2016-08-01,El Hierro,66.76,38.88,0.5823846614739365,8,3,1,25.05,19.42,36.47,20.799999999999997,23.094166666666666,0.06608171099533874
2016-09-01,El Hierro,59.23,26.68,0.4504474084079014,9,3,1,38.88,17.93,22.06,27.286666666666665,23.294999999999998,0.2094288304623754
2016-10-01,El Hierro,57.17,25.66,0.4488368025188035,10,4,0,26.68,25.05,20.25,30.203333333333333,23.679999999999996,0.2671604938271605
2016-11-01,El Hierro,56.04,25.27,0.4509279086366881,11,4,1,25.66,38.88,21.35,30.406666666666666,24.13083333333333,0.1836065573770491
2016-12-01,El Hierro,61.92,21.17,0.3418927648578811,12,4,0,25.27,26.68,23.72,25.869999999999994,24.4575,-0.10750421585160191
2017-01-01,El Hierro,62.13,25.38,0.4084983099951714,1,1,1,21.17,25.66,24.73,24.03333333333333,24.245,0.026283865750101033
2017-02-01,El Hierro,59.8,27.23,0.4553511705685619,2,1,1,25.38,25.27,22.16,23.939999999999998,24.299166666666668,0.22879061371841156
2017-03-01,El Hierro,57.4,25.94,0.4519163763066202,3,1,1,27.23,21.17,28.55,24.593333333333334,24.721666666666668,-0.09141856392294219
2017-04-01,El Hierro,58.39,24.12,0.4130844322657989,4,2,0,25.94,25.38,15.44,26.183333333333334,24.504166666666666,0.5621761658031089
2017-05-01,El Hierro,55.9,20.86,0.3731663685152057,5,2,0,24.12,27.23,19.42,25.763333333333332,25.227500000000003,0.07415036045314097
2017-06-01,El Hierro,60.52,20.85,0.3445142101784534,6,2,0,20.86,25.94,17.93,23.639999999999997,25.347499999999997,0.16285554935861693
2017-07-01,El Hierro,62.85,36.3,0.5775656324582338,7,3,0,20.85,24.12,25.05,21.94333333333333,25.590833333333336,0.44910179640718545
2017-08-01,El Hierro,71.31,49.68,0.6966764829617165,8,3,1,36.3,20.86,38.88,26.00333333333333,26.528333333333336,0.2777777777777777
2017-09-01,El Hierro,61.71,37.19,0.6026575919624048,9,3,1,49.68,20.85,26.68,35.60999999999999,27.428333333333338,0.39392803598200893
2017-10-01,El Hierro,61.53,30.79,0.5004063058670567,10,4,0,37.19,36.3,25.66,41.056666666666665,28.30416666666667,0.19992205767731874
2017-11-01,El Hierro,63.81,31.54,0.494279893433631,11,4,1,30.79,49.68,25.27,39.21999999999999,28.731666666666666,0.24812030075187969
2017-12-01,El Hierro,70.47,31.74,0.4504044274159216,12,4,0,31.54,37.19,21.17,33.173333333333325,29.254166666666666,0.4992914501653281
2018-01-01,El Hierro,63.09,31.8,0.5040418449833571,1,1,1,31.74,30.79,25.38,31.356666666666666,30.135,0.2529550827423169
2018-02-01,El Hierro,64.28,39.97,0.6218108276291225,2,1,1,31.8,31.54,27.23,31.693333333333328,30.67,0.467866323907455
2018-03-01,El Hierro,66.87,36.91,0.5519665021683864,3,1,1,39.97,31.74,25.94,34.50333333333333,31.731666666666666,0.4228989976869697
2018-04-01,El Hierro,60.3,28.31,0.469485903814262,4,2,0,36.91,31.8,24.12,36.22666666666667,32.645833333333336,0.17371475953565496
2018-05-01,El Hierro,56.36,26.41,0.4685947480482612,5,2,0,28.31,39.97,20.86,35.06333333333333,32.995,0.2660594439117929
2018-06-01,El Hierro,57.22,28.33,0.4951066060817896,6,2,0,26.41,36.91,20.85,30.543333333333333,33.4575,0.3587529976019183
2018-07-01,El Hierro,61.09,36.81,0.6025536094287117,7,3,0,28.33,28.31,36.3,27.683333333333326,34.08083333333333,0.014049586776859645
2018-08-01,El Hierro,72.99,55.46,0.7598301137142075,8,3,1,36.81,26.41,49.68,30.516666666666662,34.12333333333333,0.11634460547504027
2018-09-01,El Hierro,59.42,35.66,0.6001346348030965,9,3,1,55.46,28.33,37.19,40.199999999999996,34.605,-0.04114009142242542
2018-10-01,El Hierro,61.72,31.98,0.518146467919637,10,4,0,35.66,36.81,30.79,42.64333333333333,34.4775,0.03864891198441057
2018-11-01,El Hierro,62.37,37.42,0.5999679333012666,11,4,1,31.98,55.46,31.54,41.03333333333333,34.57666666666667,0.1864299302473051
2018-12-01,El Hierro,66.72,30.46,0.4565347721822542,12,4,0,37.42,35.66,31.74,35.019999999999996,35.06666666666667,-0.04032766225582853
2019-01-01,El Hierro,60.89,33.3,0.5468878305140417,1,1,1,30.46,31.98,31.8,33.28666666666667,34.96,0.0471698113207546
2019-02-01,El Hierro,62.27,34.96,0.5614260478561105,2,1,1,33.3,37.42,39.97,33.72666666666667,35.085,-0.12534400800600445
2019-03-01,El Hierro,62.96,36.55,0.5805273189326556,3,1,1,34.96,30.46,36.91,32.906666666666666,34.6675,-0.009753454348415048
2019-04-01,El Hierro,63.96,28.92,0.4521575984990619,4,2,0,36.55,33.3,28.31,34.93666666666666,34.637499999999996,0.021547156481808653
2019-05-01,El Hierro,55.84,24.51,0.438932664756447,5,2,0,28.92,34.96,26.41,33.47666666666667,34.68833333333333,-0.07194244604316541
2019-06-01,El Hierro,56.31,25.19,0.4473450541644468,6,2,0,24.51,36.55,28.33,29.993333333333336,34.53,-0.1108365690081185
2019-07-01,El Hierro,65.34,38.49,0.5890725436179982,7,3,0,25.19,28.92,36.81,26.206666666666667,34.26833333333334,0.04563977180114098
2019-08-01,El Hierro,74.73,56.47,0.7556536866051117,8,3,1,38.49,24.51,55.46,29.396666666666665,34.40833333333334,0.018211323476379337
2019-09-01,El Hierro,64.67,42.3,0.6540899953610638,9,3,1,56.47,25.19,35.66,40.050000000000004,34.4925,0.18620302860347732
2019-10-01,El Hierro,64.46,40.75,0.6321749922432517,10,4,0,42.3,38.49,31.98,45.75333333333333,35.045833333333334,0.2742338961851157
2019-11-01,El Hierro,62.12,43.17,0.6949452672247264,11,4,1,40.75,56.47,37.42,46.50666666666666,35.776666666666664,0.15366114377338322
2019-12-01,El Hierro,70.31,35.59,0.5061868866448586,12,4,0,43.17,42.3,30.46,42.07333333333333,36.255833333333335,0.16841759684832575
2020-01-01,El Hierro,70.73,41.4,0.5853244733493567,1,1,1,35.59,40.75,33.3,39.83666666666667,36.68333333333333,0.2432432432432433
2020-02-01,El Hierro,65.83,43.96,0.6677806471213733,2,1,1,41.4,43.17,34.96,40.053333333333335,37.358333333333334,0.2574370709382151
2020-03-01,El Hierro,61.11,19.3,0.3158239240713467,3,1,1,43.96,35.59,36.55,40.31666666666667,38.108333333333334,-0.4719562243502051
2020-07-01,El Hierro,71.3,52.93,0.7423562412342216,7,3,0,19.3,41.4,28.92,34.88666666666667,36.670833333333334,0.8302213001383125
2020-08-01,El Hierro,84.92,68.42,0.805699481865285,8,3,1,52.93,43.96,24.51,38.73,38.67166666666667,1.7915136678906567
2020-09-01,El Hierro,70.88,45.31,0.6392494356659143,9,3,1,68.42,19.3,25.19,46.883333333333326,42.33083333333334,0.7987296546248511
2020-10-01,El Hierro,63.69,39.2,0.6154812372428954,10,4,0,45.31,52.93,38.49,55.553333333333335,44.0075,0.018446349701221117
2020-11-01,El Hierro,59.81,28.84,0.4821936131081759,11,4,1,39.2,68.42,56.47,50.97666666666667,44.06666666666666,-0.48928634673277843
2020-12-01,El Hierro,65.73,26.2,0.3986003347025711,12,4,0,28.84,45.31,42.3,37.78333333333334,41.76416666666667,-0.3806146572104019
2021-01-01,El Hierro,72.27,18.34,0.2537705825377058,1,1,1,26.2,39.2,40.75,31.413333333333338,40.4225,-0.5499386503067485
2021-02-01,El Hierro,58.71,16.9,0.28785556123318,2,1,1,18.34,28.84,43.17,24.459999999999997,38.555,-0.6085244382673153
2021-03-01,El Hierro,72.33,32.29,0.4464261025853726,3,1,1,16.9,26.2,35.59,20.48,36.365833333333335,-0.09272267490868233
2021-04-01,El Hierro,72.09,26.18,0.3631571646552919,4,2,0,32.29,18.34,41.4,22.51,36.090833333333336,-0.3676328502415459
