isla,train_end,test_end,test_start,covid_fold,model,mae,rmse,mape,interval_coverage
La Gomera,186,189,2025-10-01,False,sarima,7.243292391098838,10.38522567862389,0.0646167572410372,1.0
La Gomera,186,189,2025-10-01,False,lightgbm,10.175326683203664,12.399274569734041,0.0993137597338584,
La Gomera,186,189,2025-10-01,False,lightgbm_exog,7.989048286250299,10.384434686709913,0.07712968484656903,
La Palma,36,39,2013-01-01,False,naive_estacional,6.196666666666666,7.841898154571166,0.45301989388331715,
La Palma,36,39,2013-01-01,False,sarima,6.317657694904195,7.926336696469807,0.45911915689320854,0.3333333333333333
La Palma,36,39,2013-01-01,False,lightgbm,2.7426636319234654,4.04728638935519,0.21357935749105864,
La Palma,36,39,2013-01-01,False,lightgbm_exog,6.083619353766683,7.060510575978307,0.43478983733970816,
La Palma,39,42,2013-04-01,False,naive_estacional,1.7999999999999998,2.3286190471321553,0.16317664543836133,
La Palma,39,42,2013-04-01,False,sarima,5.393691678871075,6.602883829957786,0.5360713689630864,0.6666666666666666
La Palma,39,42,2013-04-01,False,lightgbm,3.6402770170662984,4.207048149319489,0.3718899148612653,
La Palma,39,42,2013-04-01,False,lightgbm_exog,2.0258087946598398,2.248795520618634,0.19212163705927718,
La Palma,42,45,2013-07-01,False,naive_estacional,3.4499999999999993,3.9430402821511548,0.29029421246254783,
La Palma,42,45,2013-07-01,False,sarima,2.8385121265726325,3.662875233142471,0.21220138717097056,1.0
La Palma,42,45,2013-07-01,False,lightgbm,4.1842763216789605,5.063517733739842,0.33402890456516837,
La Palma,42,45,2013-07-01,False,lightgbm_exog,4.028672277620458,4.7645312637041215,0.44993393388492336,
La Palma,45,48,2013-10-01,False,naive_estacional,4.973333333333334,5.808889739012096,0.2503904226936122,
La Palma,45,48,2013-10-01,False,sarima,6.695979574200297,8.126657725601216,0.4074979978790645,0.3333333333333333
La Palma,45,48,2013-10-01,False,lightgbm,4.647198514114685,5.167475371332454,0.2443584418207647,
La Palma,45,48,2013-10-01,False,lightgbm_exog,6.516450502222856,6.8844778954078185,0.34967286459897823,
La Palma,48,51,2014-01-01,False,naive_estacional,7.546666666666666,7.979987468661839,0.33703582173815366,
La Palma,48,51,2014-01-01,False,sarima,5.197445406728547,5.8802365338400735,0.231089189077369,1.0
La Palma,48,51,2014-01-01,False,sarimax_exog,5.300083846576224,6.179444330926778,0.23600656040282972,1.0
La Palma,48,51,2014-01-01,False,lightgbm,5.413847996440879,5.769435235272317,0.2436157674418812,
La Palma,48,51,2014-01-01,False,lightgbm_exog,3.0476607504893423,3.5479761211137655,0.13863571182867077,
La Palma,51,54,2014-04-01,False,naive_estacional,5.09,5.110906638422058,0.40343840850168333,
La Palma,51,54,2014-04-01,False,sarima,4.807010755506958,5.939998829898296,0.4310023989439304,0.6666666666666666
La Palma,51,54,2014-04-01,False,sarimax_exog,10.946524425021906,10.958693850684783,0.8508178018767655,1.0
La Palma,51,54,2014-04-01,False,lightgbm,6.886578107311874,6.921118958996501,0.5505239855212157,
La Palma,51,54,2014-04-01,False,lightgbm_exog,6.035310239625635,6.149415327006738,0.4917193395185495,
La Palma,54,57,2014-07-01,False,naive_estacional,3.4000000000000004,4.578784409280117,0.2350347873626311,
La Palma,54,57,2014-07-01,False,sarima,2.229444646030622,2.587431214630482,0.19446715564867978,1.0
La Palma,54,57,2014-07-01,False,sarimax_exog,16.54324148810163,16.96845721006343,1.1653984621509934,0.0
La Palma,54,57,2014-07-01,False,lightgbm,1.6114975825319442,1.9423345551685738,0.13894165086237228,
La Palma,54,57,2014-07-01,False,lightgbm_exog,2.4670580923618233,3.045724028299366,0.16254743891632648,
La Palma,57,60,2014-10-01,False,naive_estacional,1.323333333333333,1.4308389147629441,0.07015501684958793,
La Palma,57,60,2014-10-01,False,sarima,1.7617195803525334,1.9018163869841131,0.10023638112745321,1.0
La Palma,57,60,2014-10-01,False,sarimax_exog,2.496988177230372,2.7895269815957833,0.14473711178797888,1.0
La Palma,57,60,2014-10-01,False,lightgbm,1.660248512529798,2.2567081666505224,0.0829630296048451,
La Palma,57,60,2014-10-01,False,lightgbm_exog,3.1866453802178643,3.273339188447738,0.174533476943464,
La Palma,60,63,2015-01-01,False,naive_estacional,1.9033333333333335,2.6850512099399517,0.07495292918454333,
La Palma,60,63,2015-01-01,False,sarima,2.853134405474235,3.297268866428446,0.1143714730999848,1.0
La Palma,60,63,2015-01-01,False,sarimax_exog,1.382640341638511,1.8752263831056406,0.05764052009774878,1.0
La Palma,60,63,2015-01-01,False,lightgbm,3.161760831182363,3.3091295645930594,0.12839883376507982,
La Palma,60,63,2015-01-01,False,lightgbm_exog,3.6188315277048715,5.129036220014831,0.142545090998089,
La Palma,63,66,2015-04-01,False,naive_estacional,7.869999999999998,8.68209460134285,0.3639699654229635,
La Palma,63,66,2015-04-01,False,sarima,3.7979826645059327,4.14016341052833,0.17665523864717578,1.0
La Palma,63,66,2015-04-01,False,sarimax_exog,5.022063839018238,6.204243940834761,0.22918507187577383,0.6666666666666666
La Palma,63,66,2015-04-01,False,lightgbm,10.49921049136857,10.712904052919399,0.492796246993273,
La Palma,63,66,2015-04-01,False,lightgbm_exog,8.503497552290986,8.649519239544368,0.3995642807469289,
La Palma,66,69,2015-07-01,False,naive_estacional,8.433333333333332,9.494229826584144,0.36212088784896873,
La Palma,66,69,2015-07-01,False,sarima,3.621809421345416,4.6716851460373,0.15577236412636772,1.0
La Palma,66,69,2015-07-01,False,sarimax_exog,4.0246930745768354,5.89418952840023,0.17422043802691578,0.6666666666666666
La Palma,66,69,2015-07-01,False,lightgbm,2.5406865205980402,2.6135913082032403,0.11039323156118246,
La Palma,66,69,2015-07-01,False,lightgbm_exog,4.001544141882964,4.351597860619373,0.1744300071466878,
La Palma,69,72,2015-10-01,False,naive_estacional,5.3133333333333335,5.3249788731975265,0.2203045654233383,
La Palma,69,72,2015-10-01,False,sarima,2.974378699052109,3.0138248948003326,0.12627087150757388,1.0
La Palma,69,72,2015-10-01,False,sarimax_exog,3.762536525240756,4.814026425383992,0.17362015479322648,1.0
La Palma,69,72,2015-10-01,False,lightgbm,3.7692382021611857,4.600738004710801,0.14502533763930692,
La Palma,69,72,2015-10-01,False,lightgbm_exog,2.2455528274167995,2.467043014351052,0.09137922102854591,
La Palma,72,75,2016-01-01,False,naive_estacional,4.843333333333333,5.728091596101909,0.15714116083871046,
La Palma,72,75,2016-01-01,False,sarima,2.800365602870645,3.3668881166122686,0.09909519147924095,1.0
La Palma,72,75,2016-01-01,False,sarimax_exog,3.268511796659817,4.4343263081853435,0.12208498522806051,1.0
La Palma,72,75,2016-01-01,False,lightgbm,3.2929952913197744,3.925759600203989,0.10731807019963306,
La Palma,72,75,2016-01-01,False,lightgbm_exog,4.236020482002252,4.483881590997888,0.1410555166800649,
La Palma,75,78,2016-04-01,False,naive_estacional,3.823333333333334,3.9102727952578116,0.1515277474793574,
La Palma,75,78,2016-04-01,False,sarima,2.287317894293885,2.87279328637391,0.08738427912898349,1.0
La Palma,75,78,2016-04-01,False,sarimax_exog,2.6168806818658616,2.9456406102986765,0.1034257809187734,1.0
La Palma,75,78,2016-04-01,False,lightgbm,2.200126474824914,2.335776046718852,0.08938506005511442,
La Palma,75,78,2016-04-01,False,lightgbm_exog,2.534440303088323,2.7926615509112627,0.09913978344415948,
La Palma,78,81,2016-07-01,False,naive_estacional,11.973333333333334,12.277912417562417,0.33688086695567937,
La Palma,78,81,2016-07-01,False,sarima,9.305081974445459,9.314354655131606,0.2656750497139914,0.0
La Palma,78,81,2016-07-01,False,sarimax_exog,9.40147556699993,9.616357541085714,0.2702930875370876,0.6666666666666666
La Palma,78,81,2016-07-01,False,lightgbm,11.027884553847167,11.339599512762483,0.31022282687450936,
La Palma,78,81,2016-07-01,False,lightgbm_exog,11.685801819114252,12.329337443894834,0.32843858577224994,
La Palma,81,84,2016-10-01,False,naive_estacional,13.476666666666665,13.524625687981164,0.3568926726769564,
La Palma,81,84,2016-10-01,False,sarima,2.436854703989519,2.774324092715049,0.06106467689691288,1.0
La Palma,81,84,2016-10-01,False,sarimax_exog,6.914997909906699,6.9571311100525355,0.18551974263604176,1.0
La Palma,81,84,2016-10-01,False,lightgbm,8.944009710662787,9.003375907150813,0.2359724738705786,
La Palma,81,84,2016-10-01,False,lightgbm_exog,8.396228510947477,8.804286169164243,0.21649228452616842,
La Palma,84,87,2017-01-01,False,naive_estacional,14.856666666666667,15.246889300225583,0.3358766442877814,
La Palma,84,87,2017-01-01,False,sarima,2.124058309785686,2.3134801736439696,0.047876660030058284,1.0
La Palma,84,87,2017-01-01,False,sarimax_exog,3.531158739368562,4.097297320853148,0.08036928118625238,1.0
La Palma,84,87,2017-01-01,False,lightgbm,6.349504412103428,6.403253654420763,0.14360515937059065,
La Palma,84,87,2017-01-01,False,lightgbm_exog,5.961212074914417,6.023999269954611,0.13471262105095277,
La Palma,87,90,2017-04-01,False,naive_estacional,4.36,5.23544331137934,0.1375888518838859,
La Palma,87,90,2017-04-01,False,sarima,9.620072763903641,10.306118578815843,0.3551479439005207,0.3333333333333333
La Palma,87,90,2017-04-01,False,sarimax_exog,9.817895946425919,10.46588792907692,0.35750859628620413,0.6666666666666666
La Palma,87,90,2017-04-01,False,lightgbm,8.21962558493564,8.619781429352903,0.2928255564806917,
La Palma,87,90,2017-04-01,False,lightgbm_exog,9.39050302023451,9.62867321442415,0.33798290205799403,
La Palma,90,93,2017-07-01,False,naive_estacional,0.5700000000000038,0.5714601181768252,0.01642116831549784,
La Palma,90,93,2017-07-01,False,sarima,3.8521183609936736,3.8842882589181325,0.11084271143168888,1.0
La Palma,90,93,2017-07-01,False,sarimax_exog,9.35565077090096,9.378895530148888,0.2672672589265982,1.0
La Palma,90,93,2017-07-01,False,lightgbm,3.4279702277883195,4.352517157349367,0.0981867566440429,
La Palma,90,93,2017-07-01,False,lightgbm_exog,4.041756809517918,4.42566895754165,0.11584191684976358,
La Palma,93,96,2017-10-01,False,naive_estacional,2.0433333333333366,3.0792693938660216,0.05955160566030549,
La Palma,93,96,2017-10-01,False,sarima,2.5814665793430103,2.93355003040743,0.07540179189128408,1.0
La Palma,93,96,2017-10-01,False,sarimax_exog,2.8184179783546788,3.032143863738353,0.08175745331238903,1.0
La Palma,93,96,2017-10-01,False,lightgbm,3.516841995888079,3.7009521232430207,0.1022400105797064,
La Palma,93,96,2017-10-01,False,lightgbm_exog,4.319350302354148,4.620519100858105,0.12699302122107603,
La Palma,96,99,2018-01-01,False,naive_estacional,0.8733333333333301,0.961353212924363,0.019992902154692568,
La Palma,96,99,2018-01-01,False,sarima,3.704895492306368,3.8423899120816025,0.08505900949997582,1.0
La Palma,96,99,2018-01-01,False,sarimax_exog,2.1816656634930496,2.3029291863179666,0.0499421072358292,1.0
La Palma,96,99,2018-01-01,False,lightgbm,1.7673039555515782,2.010456982801469,0.04087403408586626,
La Palma,96,99,2018-01-01,False,lightgbm_exog,3.158119916549701,3.273107681190529,0.07251342769314642,
La Palma,99,102,2018-04-01,False,naive_estacional,3.2600000000000016,3.650187209810844,0.1091731684542051,
La Palma,99,102,2018-04-01,False,sarima,6.54922603725752,6.871828583463053,0.23634365560620585,1.0
La Palma,99,102,2018-04-01,False,sarimax_exog,2.9038502293365056,3.1906012072237266,0.0977167659844592,1.0
La Palma,99,102,2018-04-01,False,lightgbm,6.316270914528229,7.472161303690813,0.2346724854332545,
La Palma,99,102,2018-04-01,False,lightgbm_exog,5.7579456763729695,6.737958869708605,0.21206165867459528,
La Palma,102,105,2018-07-01,False,naive_estacional,3.979999999999999,4.046389337009806,0.1018149152269154,
La Palma,102,105,2018-07-01,False,sarima,1.2788632500080535,1.478921162896672,0.032159691234941175,1.0
La Palma,102,105,2018-07-01,False,sarimax_exog,1.0140793681632256,1.3782417788877932,0.026511208584702028,1.0
La Palma,102,105,2018-07-01,False,lightgbm,4.016525046120285,4.465294563501545,0.10205131954362308,
La Palma,102,105,2018-07-01,False,lightgbm_exog,4.049702179025207,4.727792431357491,0.1018350788411498,
La Palma,105,108,2018-10-01,False,naive_estacional,3.6466666666666683,3.733434522438199,0.11255497732414015,
La Palma,105,108,2018-10-01,False,sarima,6.0953924425385635,6.417743584375271,0.18976725370434502,0.6666666666666666
La Palma,105,108,2018-10-01,False,sarimax_exog,7.141433111616069,7.279770413031759,0.21645840448698483,1.0
La Palma,105,108,2018-10-01,False,lightgbm,3.3093434385862017,4.522330807311802,0.11428694143072939,
La Palma,105,108,2018-10-01,False,lightgbm_exog,4.439842220851145,5.466266986232732,0.14847077849188842,
La Palma,108,111,2019-01-01,False,naive_estacional,3.4733333333333363,4.675204095366676,0.0708661659267175,
La Palma,108,111,2019-01-01,False,sarima,3.524270797498803,4.957854518703797,0.07106865166689415,1.0
La Palma,108,111,2019-01-01,False,sarimax_exog,2.70621700388376,3.6286778236271338,0.05470829242984745,1.0
La Palma,108,111,2019-01-01,False,lightgbm,4.171980844022268,5.451877327324413,0.08542462741305541,
La Palma,108,111,2019-01-01,False,lightgbm_exog,3.4952941035410277,4.645718804165957,0.07138467404031862,
La Palma,111,114,2019-04-01,False,naive_estacional,3.486666666666667,4.056772115857632,0.1050667169384693,
La Palma,111,114,2019-04-01,False,sarima,1.519982063992219,1.5907718952629575,0.04974792193033282,1.0
La Palma,111,114,2019-04-01,False,sarimax_exog,6.124126737967185,6.279712702601531,0.1983239746010649,1.0
La Palma,111,114,2019-04-01,False,lightgbm,4.113777966663417,4.345347968460426,0.1270119127423854,
La Palma,111,114,2019-04-01,False,lightgbm_exog,2.5025139380309036,2.78266778878678,0.07622058981165551,
La Palma,114,117,2019-07-01,False,naive_estacional,1.3099999999999976,1.6145277947437107,0.030770339024122403,
La Palma,114,117,2019-07-01,False,sarima,1.1168135671586583,1.3283069379739867,0.026999399301525357,1.0
